ROUTE_ID,STOP_ID,ROUTE_NAME,STOP_NAME,OBJECTID,x,y
4656,14008305,Nawton,"55 Rotokauri Rd, Hamilton",1462,1796788.0899,5817493.2487
4606,14008311,Fairfield,"256 Clarkin Rd, Hamilton (Fairfield Primary)",1463,1801206.2869,5817933.8947
3718,14008312,Tauwhare Pa,"429 SH 26, Newstead (Newstead Model School)",1464,1807866.0841,5816269.4423
4612,14008323,Claudelands,"1B Radiata St, Hamilton",1465,1802590.7798,5818214.4149
4622,14008360,Pukete,"195 Tōtara Dr, Hamilton",1466,1797372.7399,5820832.1064
4610,14008361,University,"55 Cameron Rd, Hamilton",1467,1803303.6751,5815348.1673
4612,14008388,Claudelands,"74 Powells Rd, Hamilton",1468,1803178.5063,5817803.8675
12858,14008389,Comet,"745 Te Rapa Rd, Hamilton",1469,1797450.602,5819198.1764
4604,14008390,Hillcrest,"181 Grey St, Hamilton",1470,1802044.5688,5814184.8569
4606,14008400,Fairfield,"74 Holland Rd, Hamilton",1471,1801416.3692,5817455.5233
4620,14008404,Te Rapa,"84 Bryant Rd, Hamilton",1472,1798273.3754,5818989.9591
12858,14008409,Comet,"299 Ulster St, Hamilton",1473,1799590.8172,5816604.5223
4618,14008410,Hamilton Gardens Uni,"61 Jellicoe Dr, Hamilton",1474,1801483.0008,5813805.1143
